paper_id,title,year,datasets,models,generator_families,metrics,distortions,robustness_conditions,method_keywords,entity_count,result_tuple_count
C472,Unknown,Unknown,ImageNet,"CNN, EfficientNet, ResNet","GAN, StyleGAN","AP, F1, accuracy, precision, recall",JPEG,"compressed, robustness, social media",frequency,135,8
C454,Unknown,Unknown,,,GAN,accuracy,,,co-occurrence,24,4
P057,Unknown,Unknown,"COCO, Celeb-DF","CLIP, CNN, ResNet, Xception","GAN, diffusion, latent diffusion","AP, accuracy, precision","compression, downsampling, resize","cross-generator, degradation","frequency, generalizable, localization",175,1
P067,Unknown,Unknown,"ArtiFact, CIFAKE, COCO, DFBench, ImageNet, LAION","CNN, LLaVA","Flux, GAN, SDXL, Stable Diffusion, autoregressive, diffusion, latent diffusion","F1, acc, accuracy, precision, recall","blur, compression","robustness, social media","artifact, attribution, frequency, generalizable, localization, zero-shot",218,0
C076,Unknown,Unknown,ArtiFact,CNN,GAN,accuracy,"Gaussian noise, blur, compression",,"artifact, attribution, frequency",25,1
P042,Unknown,Unknown,CIFAKE,"CNN, EfficientNet","Stable Diffusion, autoregressive, diffusion","AUC, F1, accuracy, precision, recall","downsampling, watermark",,"frequency, spectrum",119,18
P080,Unknown,Unknown,ImageNet,"CNN, ResNet, Xception","GAN, StyleGAN","AP, acc, accuracy, recall","compression, resize","compressed, degradation, social media","frequency, localization, spectrum",120,2
P006,Unknown,Unknown,"ArtiFact, ForenSynths, GenImage, ImageNet, UniversalFakeDetect","CLIP, CNN, ViT","BigGAN, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AP, acc, accuracy, precision, recall","JPEG, compression, crop, downsampling, perturbation","compressed, cross-domain, robustness","DIRE, artifact, co-occurrence, frequency, generalizable, reconstruction error, zero-shot",253,17
C399,Unknown,Unknown,"ArtiFact, COCO, ImageNet","CLIP, CNN","BigGAN, DALL-E, GAN, ProGAN, Stable Diffusion, diffusion, latent diffusion","AP, AUC, acc, accuracy","JPEG, compression, crop, downsampling","compressed, robustness, social media","artifact, attribution, frequency, spectral",138,0
C459,Unknown,Unknown,"ForenSynths, GenImage, ImageNet","CLIP, CNN, ResNet, Swin, ViT, Vision Transformer, Xception","BigGAN, DALL-E, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, acc, accuracy, precision, recall","JPEG, blur, compression, crop, resize","compressed, degradation, robustness","DIRE, co-occurrence, frequency, generalizable, spectral, spectrum, zero-shot",235,10
C470,Unknown,Unknown,ArtiFact,"CLIP, CNN","BigGAN, GAN, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AP, AUC, F1, acc, accuracy, precision, recall","Gaussian noise, JPEG, compression, crop, downsampling",robustness,"artifact, frequency, spectral, spectrum",271,1
P043,Unknown,Unknown,"ArtiFact, COCO, ForenSynths, GenImage, ImageNet, LAION, UniversalFakeDetect","CLIP, CNN, Xception","BigGAN, DALL-E, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, acc, accuracy, precision",perturbation,"compressed, robustness","DIRE, artifact, frequency, generalizable, spectral, spectrum, zero-shot",378,20
P090,Unknown,Unknown,"Celeb-DF, FaceForensics++, ImageNet","BLIP, CLIP, CNN","BigGAN, DALL-E, GAN, StyleGAN","AUC, EER, F1, accuracy, precision, recall",compression,"in-the-wild, robustness, social media","DIRE, attribution, spectral, spectrum, universal detector",126,4
P068,Unknown,Unknown,"GenImage, ImageNet","CLIP, CNN, ResNet","BigGAN, GAN, Midjourney, Stable Diffusion, diffusion, latent diffusion","AP, acc, accuracy, precision, recall",Gaussian noise,"compressed, cross-generator, robustness","DIRE, co-occurrence, frequency, generalizable, reconstruction error, spectrum, zero-shot",214,14
P078,Unknown,Unknown,,"CNN, ResNet, Xception",GAN,"F1, accuracy, precision, recall",crop,robustness,"attribution, localization, spectral",163,22
C415,Unknown,Unknown,"ArtiFact, ImageNet",CNN,"BigGAN, GAN, ProGAN, StyleGAN","AP, accuracy, precision","JPEG, blur, compression, resize",compressed,"artifact, frequency, localization, spectral, spectrum",179,4
C084,Unknown,Unknown,"COCO, ImageNet","CNN, ConvNeXt, EfficientNet, ResNet, Xception","BigGAN, GAN, ProGAN, StyleGAN","AP, AUC, F1, accuracy, precision, recall","JPEG, blur, compression, downsampling",robustness,"co-occurrence, frequency",193,4
P032,Unknown,Unknown,"COCO, MS-COCO","BLIP, CNN","GAN, ProGAN, SDXL, Stable Diffusion, diffusion, latent diffusion","AUC, F1, precision, recall","JPEG, WebP, compression, crop","compressed, robustness","DIRE, attribution, frequency, generalizable, localization",165,3
C430,Unknown,Unknown,,"CLIP, CNN","GAN, Midjourney, StyleGAN, diffusion","accuracy, precision, recall",,"compressed, social media","co-occurrence, frequency, generalizable",145,7
P011,Unknown,Unknown,,CNN,diffusion,"AP, accuracy",compression,,,30,4
P049,Unknown,Unknown,"GenImage, ImageNet","CLIP, CNN, DINOv2, ResNet, ViT, Vision Transformer","BigGAN, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","AP, AUC, accuracy, precision","Gaussian noise, JPEG, blur, compression, perturbation","compressed, degradation, robustness","DIRE, attribution, co-occurrence, frequency, localization, reconstruction error, spectrum",309,3
C077,Unknown,Unknown,ImageNet,"CNN, Xception",StyleGAN,accuracy,,"robustness, social media","attribution, localization, spectral",25,4
